# Blue Lias Formation, Southam Quarry, magnetic susceptibility + lithology
# Source: Weedon et al. 2019, PANGAEA https://doi.org/10.1594/PANGAEA.896875 (CC-BY-4.0)
# UK, Hettangian-Sinemurian limestone-marl-shale rhythmite. Real measurements, 2cm spacing.
height_m,magnetic_susceptibility,lithology
-0.39,0.0095,Limestone
-0.36,0.0095,Limestone
-0.33,0.0120,Limestone
-0.30,0.0120,Limestone
-0.27,0.0115,Limestone
-0.24,0.0100,Limestone
-0.21,0.0120,Limestone
-0.18,0.0120,Limestone
-0.15,0.0115,Limestone
-0.12,0.0125,Limestone
-0.09,0.0120,Limestone
-0.06,0.0110,Limestone
-0.03,0.0350,Weathered pyrite
0.00,0.0555,Laminated shale
0.03,0.0570,Laminated shale
0.06,0.0505,Laminated shale
0.09,0.0615,Laminated shale
0.12,0.0665,Laminated shale
0.15,0.0695,Laminated shale
0.18,0.0670,Laminated shale
0.21,0.0640,Laminated shale
0.24,0.0660,Laminated shale
0.27,0.0700,Laminated shale
0.30,0.0700,Laminated shale
0.33,0.0680,Laminated shale
0.36,0.0735,Laminated shale
0.39,0.0740,Laminated shale
0.42,0.0760,Laminated shale
0.45,0.0650,Laminated shale
0.48,0.0490,Laminated shale
0.51,0.0555,Laminated shale
0.54,0.0520,Laminated shale
0.57,0.0445,Laminated shale
0.60,0.0600,Laminated shale
0.63,0.0645,Laminated shale
0.66,0.0595,Laminated shale
0.69,0.0500,Laminated shale
0.72,0.0745,Laminated shale
0.75,0.0655,Laminated shale
0.78,0.0755,Laminated shale
0.81,0.0590,Laminated shale
0.84,0.0565,Laminated shale
0.87,0.0680,Laminated shale
0.90,0.0575,Laminated shale
0.93,0.0535,Laminated shale
0.96,0.0625,Laminated shale
0.99,0.0610,Laminated shale
1.02,0.0615,Laminated shale
1.05,0.0545,Laminated shale
1.08,0.0540,Laminated shale
1.11,0.0475,Laminated shale
1.14,0.0465,Laminated shale
1.17,0.0430,Laminated shale
1.20,0.0680,Laminated shale
1.23,0.0465,Laminated shale
1.26,0.0525,Laminated shale
1.29,0.0550,Laminated shale
1.32,0.0570,Laminated shale
1.35,0.0570,Laminated shale
1.38,0.0615,Laminated shale
1.41,0.0620,Laminated shale
1.44,0.0550,Laminated shale
1.47,0.0600,Laminated shale
1.50,0.0700,Laminated shale
1.53,0.0650,Laminated shale
1.56,0.0820,Laminated shale
1.59,0.0655,Laminated shale
1.62,0.0720,Laminated shale
1.65,0.0725,Laminated shale
1.68,0.0740,Laminated shale
1.71,0.0675,Laminated shale
1.74,0.0545,Laminated shale
1.77,0.0485,Laminated shale
1.80,0.0570,Laminated shale
1.83,0.0540,Laminated shale
1.86,0.0540,Laminated shale
1.89,0.0520,Laminated shale
1.92,0.0575,Laminated shale
1.95,0.0370,Laminated shale
1.98,0.0635,Laminated shale
2.01,0.0465,Laminated shale
2.04,0.0540,Laminated shale
2.07,0.0480,Laminated shale
