# Gubbio Contessa Highway section, magnetic susceptibility
# Source: Sinnesael et al. 2016, PANGAEA https://doi.org/10.1594/PANGAEA.864450 (CC-BY-3.0)
# Tethyan, Danian pelagic limestone (Scaglia Rossa Fm). Real Kappabridge KLY-2 measurements.
depth_m,magnetic_susceptibility
2.27,11.204
2.28,14.170
2.29,12.035
2.30,21.005
2.31,14.118
2.32,16.757
2.33,29.138
2.34,15.240
2.35,10.235
2.36,9.371
2.37,15.910
2.38,9.021
2.39,10.697
2.40,9.931
2.41,7.881
2.42,9.377
2.43,14.932
2.44,25.046
2.45,16.493
2.46,16.512
2.47,13.770
2.48,13.232
2.49,16.235
2.50,17.264
2.51,21.840
2.52,26.264
2.53,15.747
2.54,13.255
2.55,9.411
2.56,8.232
2.57,7.941
2.58,8.346
2.59,12.821
2.60,7.671
2.61,11.625
2.62,13.458
2.63,11.912
2.64,16.991
2.65,16.042
2.66,16.960
2.67,16.260
2.68,15.825
2.69,16.018
2.70,14.370
2.71,14.957
2.72,20.429
2.73,20.839
2.74,17.202
2.75,15.887
2.76,19.016
2.77,17.994
2.78,21.503
2.79,29.072
2.80,22.060
2.81,26.258
2.82,13.391
2.83,22.817
2.84,22.298
2.85,14.336
2.86,18.050
2.87,14.878
2.88,14.870
2.89,13.715
2.90,13.640
2.91,13.337
2.92,13.026
2.93,13.868
2.94,17.615
2.95,14.536
2.96,14.831
2.97,17.749
2.98,15.781
2.99,13.323
3.00,12.762
3.01,10.462
3.02,10.801
3.03,24.427
3.04,18.540
3.05,12.511
3.06,10.932
3.07,10.778
3.08,11.800
3.09,10.078
3.10,9.811
3.11,8.941
3.12,10.897
3.13,9.746
3.14,12.885
3.15,14.749
3.16,13.135
3.17,14.068
3.18,21.565
3.19,16.849
3.20,16.070
3.21,14.642
3.22,22.566
3.23,18.059
3.24,21.292
3.25,21.773
3.26,20.710
3.27,20.851
3.28,19.687
3.29,18.741
3.30,14.845
3.31,24.701
3.32,16.414
3.33,17.130
3.34,14.371
3.35,15.675
3.36,12.749
3.37,13.607
3.38,16.006
3.39,20.886
3.40,19.430
3.41,14.688
3.42,17.586
3.43,16.488
3.44,19.423
3.45,20.835
3.46,15.249
3.47,17.690
3.48,19.224
3.49,20.213
3.50,19.650
3.51,20.219
3.52,18.442
3.53,19.957
3.54,17.802
3.55,17.415
3.56,12.934
3.57,13.103
3.58,14.334
3.59,15.013
3.60,16.919
3.61,23.985
3.62,18.565
3.63,20.880
3.64,23.156
3.65,34.288
3.66,25.700
3.67,24.440
3.68,22.145
3.69,30.688
3.70,26.504
3.71,20.176
3.72,38.663
3.73,50.045
3.74,22.057
3.75,23.054
3.76,18.752
3.77,22.239
3.78,23.815
3.79,12.072
3.80,25.005
3.81,19.764
3.82,21.160
3.83,22.087
3.84,17.011
3.85,20.712
3.86,18.970
3.87,19.237
3.88,16.414
3.89,14.760
3.90,17.883
3.91,14.212
3.92,16.464
3.93,17.742
3.94,16.182
3.95,13.340
3.96,16.501
3.97,12.987
3.98,16.718
3.99,13.883
4.00,14.679
4.01,15.199
4.02,14.457
4.03,12.497
4.04,13.070
4.05,15.459
4.06,15.521
4.07,12.483
4.08,13.039
4.09,16.426
4.10,12.808
4.11,14.830
4.12,15.047
4.13,14.360
4.14,17.067
4.15,17.275
4.16,20.074
4.17,18.921
4.18,19.862
4.19,20.970
4.20,21.162
4.21,28.344
4.22,24.578
4.23,20.142
4.24,21.150
4.25,17.090
4.26,17.539
4.27,17.212
4.28,19.780
4.29,19.245
4.30,21.169
4.31,20.597
4.32,19.707
4.33,20.389
4.34,19.274
4.35,18.919
4.36,37.915
4.37,21.093
4.38,18.749
4.39,34.947
4.40,21.460
4.41,21.033
4.42,18.317
4.43,17.378
4.44,14.994
4.45,15.067
4.46,15.182
4.47,17.391
4.48,15.568
